,birthplace,date_of_birth,race_ethnicity,religion,sexual_orientation,year_of_award,award,biourl,movie,person,bioLink,movie_IMDB_Link,rating_bin,runtime_bin
333,"Bronx, Ny",17-Sep-31,White,Christian,Straight,1963,Best Actress,http://www.nndb.com/people/439/000023370/,The Miracle Worker,Anne Bancroft,https://www.imdb.com/name/nm0000843/awards,https://www.imdb.com/title/tt0056241/,8.0,2.0
334,"Elmhurst, Ny",14-Dec-46,White,Christian,Straight,1963,Best Supporting Actress,http://www.nndb.com/people/775/000022709/,The Miracle Worker,Patty Duke,https://www.imdb.com/name/nm0001157/,https://www.imdb.com/title/tt0056241/,8.0,2.0
335,"Walton-on-Thames, Surrey, England",1-Oct-35,White,Unknown,Straight,1965,Best Actress,http://www.nndb.com/people/874/000023805/,Mary Poppins,Julie Andrews,https://www.imdb.com/name/nm0000267/awards,https://www.imdb.com/title/tt0058331/,8.0,2.5
336,"Chabua, Assam, India",14-Apr-41,White,Unknown,Straight,1966,Best Actress,http://www.nndb.com/people/801/000063612/,Darling,Julie Christie,https://www.imdb.com/name/nm0001046/awards,https://www.imdb.com/title/tt0059084/,7.0,2.0
337,"London, England",27-Feb-32,White,Jewish,Straight,1967,Best Actress,http://www.nndb.com/people/624/000023555/,Who's Afraid of Virginia Woolf?,Elizabeth Taylor,https://www.imdb.com/name/nm0000072/awards,https://www.imdb.com/title/tt0061184/,8.0,2.0
338,"London, England",27-Feb-32,White,Jewish,Straight,1967,Best Actress,http://www.nndb.com/people/624/000023555/,Who's Afraid of Virginia Woolf?,Elizabeth Taylor,https://www.imdb.com/name/nm0000072/awards,https://www.imdb.com/title/tt0061184/,8.0,2.0
339,"Hastings, Ne",27-Apr-37,White,Unknown,Bisexual,1967,Best Supporting Actress,http://www.nndb.com/people/961/000063772/,Who's Afraid of Virginia Woolf?,Sandy Dennis,https://www.imdb.com/name/nm0006800/,https://www.imdb.com/title/tt0061184/,8.0,2.0
340,"Hartford, Ct",12-May-07,White,Atheist,Bisexual,1968,Best Actress,http://www.nndb.com/people/775/000023706/,Guess Who's Coming to Dinner,Katharine Hepburn,https://www.imdb.com/name/nm0000031/awards,https://www.imdb.com/title/tt0061735/,8.0,2.0
341,"Brooklyn, Ny",24-Apr-42,White,Jewish,Straight,1969,Best Actress,http://www.nndb.com/people/526/000022460/,Funny Girl,Barbra Streisand,https://www.imdb.com/name/nm0000659/awards,https://www.imdb.com/title/tt0062994/,7.0,2.5
342,"Hartford, Ct",12-May-07,White,Atheist,Bisexual,1969,Best Actress,http://www.nndb.com/people/775/000023706/,The Lion in Winter,Katharine Hepburn,https://www.imdb.com/name/nm0000031/awards,https://www.imdb.com/title/tt0063227/,8.0,2.0
343,"Ilford, Essex, England",28-Dec-34,White,Unknown,Straight,1970,Best Actress,http://www.nndb.com/people/260/000030170/,The Prime of Miss Jean Brodie,Maggie Smith,https://www.imdb.com/name/nm0001749/awards,https://www.imdb.com/title/tt0064840/,8.0,2.0
344,"Ilford, Essex, England",28-Dec-34,White,Unknown,Straight,1970,Best Actress,http://www.nndb.com/people/260/000030170/,The Prime of Miss Jean Brodie,Maggie Smith,https://www.imdb.com/name/nm0001749/awards,https://www.imdb.com/title/tt0064840/,8.0,2.0
345,"Birkenhead, Cheshire, England",9-May-36,White,Unknown,Straight,1971,Best Actress,http://www.nndb.com/people/799/000063610/,Women in Love,Glenda Jackson,https://www.imdb.com/name/nm0413559/awards,https://www.imdb.com/title/tt0066579/,7.0,2.0
346,New York City,21-Dec-37,White,Christian,Straight,1972,Best Actress,http://www.nndb.com/people/637/000022571/,Klute,Jane Fonda,https://www.imdb.com/name/nm0000404/awards,https://www.imdb.com/title/tt0067309/,7.0,2.0
347,"Birkenhead, Cheshire, England",9-May-36,White,Unknown,Straight,1974,Best Actress,http://www.nndb.com/people/799/000063610/,A Touch of Class,Glenda Jackson,https://www.imdb.com/name/nm0413559/awards,https://www.imdb.com/title/tt0070819/,6.0,2.0
348,"Detroit, Mi",7-Dec-32,White,Sufism,Straight,1975,Best Actress,http://www.nndb.com/people/650/000023581/,Alice Doesn't Live Here Anymore,Ellen Burstyn,https://www.imdb.com/name/nm0000995/awards,https://www.imdb.com/title/tt0071115/,7.0,2.0
349,"Pasadena, Ca",6-Nov-46,White,Unknown,Straight,1980,Best Actress,http://www.nndb.com/people/897/000022831/,Norma Rae,Sally Field,https://www.imdb.com/name/nm0000398/awards,https://www.imdb.com/title/tt0079638/,7.0,2.0
350,"Quitman, Tx",25-Dec-49,White,Unknown,Straight,1981,Best Actress,http://www.nndb.com/people/758/000023689/,Coal Miner's Daughter,Sissy Spacek,https://www.imdb.com/name/nm0000651/awards,https://www.imdb.com/title/tt0080549/,8.0,2.0
351,"Summit, Nj",22-Jun-49,White,Unknown,Straight,1983,Best Actress,http://www.nndb.com/people/001/000024926/,Sophie's Choice,Meryl Streep,https://www.imdb.com/name/nm0000658/awards,https://www.imdb.com/title/tt0084707/,8.0,2.5
352,"Pasadena, Ca",6-Nov-46,White,Unknown,Straight,1985,Best Actress,http://www.nndb.com/people/897/000022831/,Places in the Heart,Sally Field,https://www.imdb.com/name/nm0000398/awards,https://www.imdb.com/title/tt0087921/,7.0,2.0
353,"Kirksville, Mo",22-Nov-24,White,Unknown,Straight,1986,Best Actress,http://www.nndb.com/people/780/000043651/,The Trip to Bountiful,Geraldine Page,https://www.imdb.com/name/nm0656183/awards,https://www.imdb.com/title/tt0090203/,8.0,2.0
354,"Morton Grove, Il",24-Aug-65,White,Jewish,Straight,1987,Best Actress,http://www.nndb.com/people/870/000023801/,Children of a Lesser God,Marlee Matlin,https://www.imdb.com/name/nm0559144/,https://www.imdb.com/title/tt0090830/,7.0,2.0
355,"El Centro, Ca",20-May-46,White,Unknown,Bisexual,1988,Best Actress,http://www.nndb.com/people/688/000022622/,Moonstruck,Cher,https://www.imdb.com/name/nm0000333/awards,https://www.imdb.com/title/tt0093565/,7.0,1.5
356,"Lowell, Ma",20-Jun-31,White,Unknown,Straight,1988,Best Supporting Actress,http://www.nndb.com/people/430/000023361/,Moonstruck,Olympia Dukakis,https://www.imdb.com/name/nm0001156/,https://www.imdb.com/title/tt0093565/,7.0,1.5
357,"Los Angeles, Ca",19-Nov-62,White,Atheist,Lesbian,1989,Best Actress,http://www.nndb.com/people/756/000023687/,The Accused,Jodie Foster,https://www.imdb.com/name/nm0000149/awards,https://www.imdb.com/title/tt0094608/,7.0,2.0
358,"London, England",7-Jun-09,White,Unknown,Straight,1990,Best Actress,http://www.nndb.com/people/017/000023945/,Driving Miss Daisy,Jessica Tandy,https://www.imdb.com/name/nm0001788/,https://www.imdb.com/title/tt0097239/,7.0,1.5
359,"Memphis, Tn",28-Jun-48,White,Unknown,Straight,1991,Best Actress,http://www.nndb.com/people/907/000024835/,Misery,Kathy Bates,https://www.imdb.com/name/nm0000870/awards,https://www.imdb.com/title/tt0100157/,8.0,2.0
360,"London, England",15-Apr-59,White,Unknown,Straight,1993,Best Actress,http://www.nndb.com/people/627/000025552/,Howards End,Emma Thompson,https://www.imdb.com/name/nm0000668/awards,https://www.imdb.com/title/tt0104454/,7.0,2.5
361,"Conyers, Ga",20-Mar-58,White,Unknown,Straight,1994,Best Actress,http://www.nndb.com/people/566/000023497/,The Piano,Holly Hunter,https://www.imdb.com/name/nm0000456/awards,https://www.imdb.com/title/tt0107822/,8.0,2.0
362,"Winnipeg, Manitoba, Canada",24-Jul-82,White,Unknown,Bisexual,1994,Best Supporting Actress,http://www.nndb.com/people/763/000025688/,The Piano,Anna Paquin,https://www.imdb.com/name/nm0001593/,https://www.imdb.com/title/tt0107822/,8.0,2.0
363,"Cloquet, Mn",20-Apr-49,White,Unknown,Straight,1995,Best Actress,http://www.nndb.com/people/004/000022935/,Blue Sky,Jessica Lange,https://www.imdb.com/name/nm0001448/awards,https://www.imdb.com/title/tt0109306/,6.0,1.5
364,"Queens, Ny",4-Oct-46,White,Christian,Straight,1996,Best Actress,http://www.nndb.com/people/762/000024690/,Dead Man Walking,Susan Sarandon,https://www.imdb.com/name/nm0000215/awards,https://www.imdb.com/title/tt0112818/,8.0,2.0
365,"Chicago, Il",23-Jun-57,White,Christian,Straight,1997,Best Actress,http://www.nndb.com/people/517/000025442/,Fargo,Frances McDormand,https://www.imdb.com/name/nm0000531/awards,https://www.imdb.com/title/tt0116282/,8.0,1.5
366,"Los Angeles, Ca",27-Sep-72,White,Jewish,Straight,1999,Best Actress,http://www.nndb.com/people/592/000023523/,Shakespeare in Love,Gwyneth Paltrow,https://www.imdb.com/name/nm0000569/awards,https://www.imdb.com/title/tt0138097/,7.0,2.0
367,"Los Angeles, Ca",27-Sep-72,White,Jewish,Straight,1999,Best Actress,http://www.nndb.com/people/592/000023523/,Shakespeare in Love,Gwyneth Paltrow,https://www.imdb.com/name/nm0000569/awards,https://www.imdb.com/title/tt0138097/,7.0,2.0
368,"York, North Yorkshire, England",9-Dec-34,White,Christian,Straight,1999,Best Supporting Actress,http://www.nndb.com/people/824/000023755/,Shakespeare in Love,Judi Dench,https://www.imdb.com/name/nm0001132/awards,https://www.imdb.com/title/tt0138097/,7.0,2.0
369,"Lincoln, Ne",30-Jul-74,White,Unknown,Straight,2000,Best Actress,http://www.nndb.com/people/333/000026255/,Boys Don't Cry,Hilary Swank,https://www.imdb.com/name/nm0005476/awards,https://www.imdb.com/title/tt0171804/,8.0,2.0
370,"Smyrna, Ga",28-Oct-67,White,Hindu,Straight,2001,Best Actress,http://www.nndb.com/people/592/000022526/,Erin Brockovich,Julia Roberts,https://www.imdb.com/name/nm0000210/awards,https://www.imdb.com/title/tt0195685/,7.0,2.0
371,"Cleveland, Oh",14-Aug-66,Multiracial,Unknown,Straight,2002,Best Actress,http://www.nndb.com/people/487/000023418/,Monster's Ball,Halle Berry,https://www.imdb.com/name/nm0000932/awards,https://www.imdb.com/title/tt0285742/,7.0,2.0
372,"Honolulu, Hi",20-Jun-67,White,Christian,Straight,2003,Best Actress,http://www.nndb.com/people/917/000022851/,The Hours,Nicole Kidman,https://www.imdb.com/name/nm0000173/awards,https://www.imdb.com/title/tt0274558/,8.0,2.0
373,"Benoni, South Africa",7-Aug-75,White,Unknown,Straight,2004,Best Actress,http://www.nndb.com/people/146/000026068/,Monster,Charlize Theron,https://www.imdb.com/name/nm0000234/awards,https://www.imdb.com/title/tt0340855/,7.0,2.0
374,"New Orleans, La",22-Mar-76,White,Unknown,Straight,2006,Best Actress,http://www.nndb.com/people/813/000022747/,Walk the Line,Reese Witherspoon,https://www.imdb.com/name/nm0000702/awards,https://www.imdb.com/title/tt0358273/,8.0,2.5
375,"Chiswick, London, England",26-Jul-45,White,Unknown,Straight,2007,Best Actress,http://www.nndb.com/people/907/000044775/,The Queen,Helen Mirren,https://www.imdb.com/name/nm0000545/awards,https://www.imdb.com/title/tt0436697/,7.0,1.5
376,"Paris, France",30-Sep-75,White,Unknown,Straight,2008,Best Actress,http://www.nndb.com/people/723/000136315/,The Passionate Life of Edith Piaf,Marion Cotillard,https://www.imdb.com/name/nm0182839/awards,https://www.imdb.com/title/tt0450188/,8.0,2.5
377,"Reading, England",5-Oct-75,White,Unknown,Straight,2009,Best Actress,http://www.nndb.com/people/582/000023513/,The Reader,Kate Winslet,https://www.imdb.com/name/nm0000701/awards,https://www.imdb.com/title/tt0976051/,8.0,2.0
378,"Arlington, Va",26-Jul-64,White,Unknown,Straight,2010,Best Actress,http://www.nndb.com/people/601/000023532/,The Blind Side,Sandra Bullock,https://www.imdb.com/name/nm0000113/awards,https://www.imdb.com/title/tt0878804/,8.0,2.0
379,"Jerusalem, Israel",9-Jun-81,White,Jewish,Straight,2011,Best Actress,http://www.nndb.com/people/040/000022971/,Black Swan,Natalie Portman,https://www.imdb.com/name/nm0000204/awards,https://www.imdb.com/title/tt0947798/,8.0,2.0
380,"Summit, Nj",22-Jun-49,White,Unknown,Straight,2012,Best Actress,http://www.nndb.com/people/001/000024926/,The Iron Lady,Meryl Streep,https://www.imdb.com/name/nm0000658/awards,https://www.imdb.com/title/tt1007029/,6.0,2.0
381,"Louisville, Ky",15-Aug-90,White,Unknown,Unknown,2013,Best Actress,http://www.nndb.com/people/597/000272778/,Silver Linings Playbook,Jennifer Lawrence,https://www.imdb.com/name/nm2225369/awards,https://www.imdb.com/title/tt1045658/,8.0,2.0
382,"Melbourne, Victoria, Australia",14-May-69,White,Unknown,Straight,2014,Best Actress,http://www.nndb.com/people/222/000026144/,Blue Jasmine,Cate Blanchett,https://www.imdb.com/name/nm0000949/awards,https://www.imdb.com/title/tt2334873/,7.0,1.5
383,"Litchfield, Mn",15-Feb-1899,White,Unknown,Straight,1937,Best Supporting Actress,http://www.nndb.com/people/062/000063870/,Anthony Adverse,Gale Sondergaard,https://www.imdb.com/name/nm0814216/,https://www.imdb.com/title/tt0027300/,6.0,2.5
384,New York City,2-Nov-1892,White,Unknown,Straight,1938,Best Supporting Actress,http://www.nndb.com/people/079/000063887/,In Old Chicago,Alice Brady,https://www.imdb.com/name/nm0103567/,https://www.imdb.com/title/tt0029047/,7.0,1.5
385,"Quincy, Il",3-May-06,White,Christian,Straight,1942,Best Supporting Actress,http://www.nndb.com/people/690/000042564/,The Great Lie,Mary Astor,https://www.imdb.com/name/nm0000802/awards,https://www.imdb.com/title/tt0033677/,7.0,2.0
386,"Quincy, Il",3-May-06,White,Christian,Straight,1942,Best Supporting Actress,http://www.nndb.com/people/690/000042564/,The Great Lie,Mary Astor,https://www.imdb.com/name/nm0000802/awards,https://www.imdb.com/title/tt0033677/,7.0,2.0
387,"Athens, Greece",17-Dec-1900,White,Unknown,Straight,1944,Best Supporting Actress,http://www.nndb.com/people/080/000063888/,For Whom the Bell Tolls,Katina Paxinou,https://www.imdb.com/name/nm0668093/,https://www.imdb.com/title/tt0035896/,7.0,3.0
388,"Philadelphia, Pa",15-Aug-1879,White,Christian,Straight,1945,Best Supporting Actress,http://www.nndb.com/people/743/000043614/,None but the Lonely Heart,Ethel Barrymore,https://www.imdb.com/name/nm0000856/awards,https://www.imdb.com/title/tt0037135/,6.0,2.0
389,New York City,25-Jun-1903,White,Unknown,Straight,1946,Best Supporting Actress,http://www.nndb.com/people/081/000063889/,National Velvet,Anne Revere,https://www.imdb.com/name/nm0720843/,https://www.imdb.com/title/tt0037120/,7.0,2.0
390,New York City,25-Jun-1903,White,Unknown,Straight,1946,Best Supporting Actress,http://www.nndb.com/people/081/000063889/,National Velvet,Anne Revere,https://www.imdb.com/name/nm0720843/,https://www.imdb.com/title/tt0037120/,7.0,2.0
391,"Michigan City, In",7-May-23,White,Unknown,Straight,1947,Best Supporting Actress,http://www.nndb.com/people/458/000026380/,The Razor's Edge,Anne Baxter,https://www.imdb.com/name/nm0000879/awards,https://www.imdb.com/title/tt0038873/,7.0,2.5
392,New York City,8-Mar-10,White,Unknown,Straight,1949,Best Supporting Actress,http://www.nndb.com/people/085/000063893/,Key Largo,Claire Trevor,https://www.imdb.com/name/nm0872456/,https://www.imdb.com/title/tt0040506/,8.0,1.5
393,"Newtonville, Ma",3-Jan-1886,White,Unknown,Straight,1951,Best Supporting Actress,http://www.nndb.com/people/087/000063895/,Harvey,Josephine Hull,https://www.imdb.com/name/nm0401449/,https://www.imdb.com/title/tt0042546/,8.0,1.5
394,"Los Angeles, Ca",28-Nov-23,White,Unknown,Straight,1953,Best Supporting Actress,http://www.nndb.com/people/088/000063896/,The Bad and the Beautiful,Gloria Grahame,https://www.imdb.com/name/nm0002108/awards,https://www.imdb.com/title/tt0044391/,8.0,2.0
395,"Oakland, Ca",30-Dec-14,White,Unknown,Straight,1956,Best Supporting Actress,http://www.nndb.com/people/089/000063897/,East of Eden,Jo Van Fleet,https://www.imdb.com/name/nm0886888/awards,https://www.imdb.com/title/tt0048028/,8.0,2.0
396,"Chicago, Il",30-Jan-25,White,Unknown,Straight,1957,Best Supporting Actress,http://www.nndb.com/people/090/000063898/,Written on the Wind,Dorothy Malone,https://www.imdb.com/name/nm0540416/awards,https://www.imdb.com/title/tt0049966/,7.0,1.5
397,"St. Louis, Mo",18-Aug-20,White,Jewish,Straight,1960,Best Supporting Actress,http://www.nndb.com/people/859/000022793/,The Diary of Anne Frank,Shelley Winters,https://www.imdb.com/name/nm0001859/awards,https://www.imdb.com/title/tt0052738/,7.0,3.0
398,"London, England",11-May-1892,White,Unknown,Straight,1964,Best Supporting Actress,http://www.nndb.com/people/052/000063860/,the V.I.P.s,Margaret Rutherford,https://www.imdb.com/name/nm0751983/,https://www.imdb.com/title/tt0057634/,6.0,2.0
399,"St. Petersburg, Russia",9-Oct-18,White,Unknown,Straight,1965,Best Supporting Actress,http://www.nndb.com/people/049/000063857/,Zorba the Greek,Lila Kedrova,https://www.imdb.com/name/nm0444321/,https://www.imdb.com/title/tt0057831/,8.0,2.5
400,"St. Louis, Mo",18-Aug-20,White,Jewish,Straight,1966,Best Supporting Actress,http://www.nndb.com/people/859/000022793/,A Patch of Blue,Shelley Winters,https://www.imdb.com/name/nm0001859/awards,https://www.imdb.com/title/tt0059573/,8.0,2.0
401,"Marblehead, Ma",20-Nov-27,White,Unknown,Straight,1968,Best Supporting Actress,http://www.nndb.com/people/475/000032379/,Bonnie and Clyde,Estelle Parsons,https://www.imdb.com/name/nm0663820/,https://www.imdb.com/title/tt0061418/,8.0,2.0
402,"Quincy, Ma",30-Oct-1896,White,Unknown,Straight,1969,Best Supporting Actress,http://www.nndb.com/people/818/000043689/,Rosemary's Baby,Ruth Gordon,https://www.imdb.com/name/nm0002106/awards,https://www.imdb.com/title/tt0063522/,8.0,2.5
403,"Silver Spring, Md",21-Nov-45,White,Buddhist,Straight,1970,Best Supporting Actress,http://www.nndb.com/people/996/000022930/,Cactus Flower,Goldie Hawn,https://www.imdb.com/name/nm0000443/awards,https://www.imdb.com/title/tt0064117/,7.0,1.5
404,"Washington, Dc",10-Oct-1900,White,Unknown,Straight,1971,Best Supporting Actress,http://www.nndb.com/people/908/000031815/,Airport,Helen Hayes,https://www.imdb.com/name/nm0371040/awards,https://www.imdb.com/title/tt0065377/,7.0,2.5
405,"Columbus, Oh",29-Mar-19,White,Unknown,Straight,1973,Best Supporting Actress,http://www.nndb.com/people/828/000063639/,Butterflies Are Free,Eileen Heckart,https://www.imdb.com/name/nm0373012/,https://www.imdb.com/title/tt0068326/,7.0,2.0
406,"Los Angeles, Ca",5-Nov-63,White,Unknown,Straight,1974,Best Supporting Actress,http://www.nndb.com/people/104/000024032/,Paper Moon,Tatum O'Neal,https://www.imdb.com/name/nm0001575/,https://www.imdb.com/title/tt0070510/,8.0,1.5
407,"Stockholm, Sweden",29-Aug-15,White,Unknown,Straight,1975,Best Supporting Actress,http://www.nndb.com/people/836/000024764/,Murder on the Orient Express,Ingrid Bergman,https://www.imdb.com/name/nm0000006/awards,https://www.imdb.com/title/tt0071877/,7.0,2.0
408,New York City,31-Oct-27,White,Jewish,Straight,1976,Best Supporting Actress,http://www.nndb.com/people/409/000032313/,Shampoo,Lee Grant,https://www.imdb.com/name/nm0335519/awards,https://www.imdb.com/title/tt0073692/,6.0,2.0
409,New York City,31-Oct-27,White,Jewish,Straight,1976,Best Supporting Actress,http://www.nndb.com/people/409/000032313/,Shampoo,Lee Grant,https://www.imdb.com/name/nm0335519/awards,https://www.imdb.com/title/tt0073692/,6.0,2.0
410,"Ilford, Essex, England",28-Dec-34,White,Unknown,Straight,1979,Best Supporting Actress,http://www.nndb.com/people/260/000030170/,California Suite,Maggie Smith,https://www.imdb.com/name/nm0001749/awards,https://www.imdb.com/title/tt0077289/,6.0,1.5
411,"Newport, Ar",8-Feb-53,White,Unknown,Straight,1981,Best Supporting Actress,http://www.nndb.com/people/271/000025196/,Melvin and Howard,Mary Steenburgen,https://www.imdb.com/name/nm0005460/awards,https://www.imdb.com/title/tt0081150/,7.0,1.5
412,"Cloquet, Mn",20-Apr-49,White,Unknown,Straight,1983,Best Supporting Actress,http://www.nndb.com/people/004/000022935/,Tootsie,Jessica Lange,https://www.imdb.com/name/nm0001448/awards,https://www.imdb.com/title/tt0084805/,7.0,2.0
413,"Morristown, Nj",2-Apr-45,White,Unknown,Unknown,1984,Best Supporting Actress,http://www.nndb.com/people/671/000024599/,The Year of Living Dangerously,Linda Hunt,https://www.imdb.com/name/nm0001373/awards,https://www.imdb.com/title/tt0086617/,7.0,2.0
414,"Croydon, Surrey, England",22-Dec-07,White,Agnostic,Straight,1985,Best Supporting Actress,http://www.nndb.com/people/816/000063627/,A Passage to India,Peggy Ashcroft,https://www.imdb.com/name/nm0001919/,https://www.imdb.com/title/tt0087892/,7.0,2.5
415,"Santa Monica, Ca",8-Jul-51,White,Unknown,Straight,1986,Best Supporting Actress,http://www.nndb.com/people/128/000025053/,Prizzi's Honor,Anjelica Huston,https://www.imdb.com/name/nm0001378/awards,https://www.imdb.com/title/tt0089841/,7.0,2.0
416,"Wareham, Ma",21-Jan-56,White,Christian,Straight,1989,Best Supporting Actress,http://www.nndb.com/people/883/000022817/,The Accidental Tourist,Geena Davis,https://www.imdb.com/name/nm0000133/awards,https://www.imdb.com/title/tt0094606/,7.0,2.0
417,New York City,13-Nov-55,Black,Atheist,Straight,1991,Best Supporting Actress,http://www.nndb.com/people/242/000025167/,Ghost,Whoopi Goldberg,https://www.imdb.com/name/nm0000155/awards,https://www.imdb.com/title/tt0099653/,7.0,2.0
418,"Queens, Ny",28-Feb-48,Hispanic,Christian,Straight,1992,Best Supporting Actress,http://www.nndb.com/people/890/000024818/,The Fisher King,Mercedes Ruehl,https://www.imdb.com/name/nm0001689/awards,https://www.imdb.com/title/tt0101889/,8.0,2.5
419,"Brooklyn, Ny",4-Dec-64,White,Unknown,Straight,1993,Best Supporting Actress,http://www.nndb.com/people/985/000025910/,My Cousin Vinny,Marisa Tomei,https://www.imdb.com/name/nm0000673/,https://www.imdb.com/title/tt0104952/,8.0,2.0
420,"Kansas City, Mo",28-Mar-48,White,Unknown,Straight,1995,Best Supporting Actress,http://www.nndb.com/people/894/000024822/,Bullets Over Broadway,Dianne Wiest,https://www.imdb.com/name/nm0001848/awards,https://www.imdb.com/title/tt0109348/,7.0,1.5
421,"Tenafly, Nj",28-Sep-67,White,Atheist,Straight,1996,Best Supporting Actress,http://www.nndb.com/people/890/000025815/,Mighty Aphrodite,Mira Sorvino,https://www.imdb.com/name/nm0000227/,https://www.imdb.com/title/tt0113819/,7.0,1.5
422,"Athens, Ga",8-Dec-53,White,Unknown,Straight,1998,Best Supporting Actress,http://www.nndb.com/people/310/000025235/,L.A. Confidential,Kim Basinger,https://www.imdb.com/name/nm0000107/awards,https://www.imdb.com/title/tt0119488/,8.0,2.5
423,"Los Angeles, Ca",4-Jun-75,White,Buddhist,Bisexual,2000,Best Supporting Actress,http://www.nndb.com/people/493/000023424/,"Girl, Interrupted",Angelina Jolie,https://www.imdb.com/name/nm0001401/awards,https://www.imdb.com/title/tt0172493/,7.0,2.0
424,"Los Angeles, Ca",4-Jun-75,White,Buddhist,Bisexual,2000,Best Supporting Actress,http://www.nndb.com/people/493/000023424/,"Girl, Interrupted",Angelina Jolie,https://www.imdb.com/name/nm0001401/awards,https://www.imdb.com/title/tt0172493/,7.0,2.0
425,"La Jolla, Ca",14-Aug-59,White,Unknown,Straight,2001,Best Supporting Actress,http://www.nndb.com/people/641/000025566/,Pollock,Marcia Gay Harden,https://www.imdb.com/name/nm0001315/awards,https://www.imdb.com/title/tt0183659/,7.0,2.0
426,"La Jolla, Ca",14-Aug-59,White,Unknown,Straight,2001,Best Supporting Actress,http://www.nndb.com/people/641/000025566/,Pollock,Marcia Gay Harden,https://www.imdb.com/name/nm0001315/awards,https://www.imdb.com/title/tt0183659/,7.0,2.0
427,"Mumbles, Wales",25-Sep-69,White,Christian,Straight,2003,Best Supporting Actress,http://www.nndb.com/people/516/000023447/,Chicago,Catherine Zeta-Jones,https://www.imdb.com/name/nm0001876/awards,https://www.imdb.com/title/tt0299658/,7.0,2.0
428,"Katy, Tx",25-Apr-69,White,Unknown,Straight,2004,Best Supporting Actress,http://www.nndb.com/people/708/000024636/,Cold Mountain,RenÌ©e Zellweger,https://www.imdb.com/name/nm0000250/,https://www.imdb.com/title/tt0159365/,7.0,2.5
429,"Melbourne, Victoria, Australia",14-May-69,White,Unknown,Straight,2005,Best Supporting Actress,http://www.nndb.com/people/222/000026144/,The Aviator,Cate Blanchett,https://www.imdb.com/name/nm0000949/awards,https://www.imdb.com/title/tt0338751/,8.0,3.0
430,"London, England",7-Mar-71,White,Jewish,Straight,2006,Best Supporting Actress,http://www.nndb.com/people/309/000032213/,The Constant Gardener,Rachel Weisz,https://www.imdb.com/name/nm0001838/awards,https://www.imdb.com/title/tt0387131/,7.0,2.0
431,"London, England",7-Mar-71,White,Jewish,Straight,2006,Best Supporting Actress,http://www.nndb.com/people/309/000032213/,The Constant Gardener,Rachel Weisz,https://www.imdb.com/name/nm0001838/awards,https://www.imdb.com/title/tt0387131/,7.0,2.0
432,"Chicago, Il",12-Sep-81,Black,Christian,Straight,2007,Best Supporting Actress,http://www.nndb.com/people/434/000129047/,Dreamgirls,Jennifer Hudson,https://www.imdb.com/name/nm1617685/awards,https://www.imdb.com/title/tt0443489/,6.0,2.0
433,"London, England",5-Nov-60,White,Unknown,Straight,2007,Best Supporting Actress,http://www.nndb.com/people/178/000108851/,Michael Clayton,Tilda Swinton,https://www.imdb.com/name/nm0842770/awards,https://www.imdb.com/title/tt0465538/,7.0,2.0
434,"Madrid, Spain",28-Apr-74,Hispanic,Buddhist,Straight,2009,Best Supporting Actress,http://www.nndb.com/people/748/000025673/,Vicky Cristina Barcelona,Penelope Cruz,https://www.imdb.com/name/nm0004851/awards,https://www.imdb.com/title/tt0497465/,7.0,1.5
435,"Woodlawn, Md",11-Dec-67,Black,Unknown,Straight,2010,Best Supporting Actress,http://www.nndb.com/people/836/000131443/,Precious,Mo'Nique,https://www.imdb.com/name/nm0594898/awards,https://www.imdb.com/title/tt0929632/,7.0,2.0
436,"Woodlawn, Md",11-Dec-67,Black,Unknown,Straight,2010,Best Supporting Actress,http://www.nndb.com/people/836/000131443/,Precious,Mo'Nique,https://www.imdb.com/name/nm0594898/awards,https://www.imdb.com/title/tt0929632/,7.0,2.0
437,"Montgomery, Al",25-May-72,Black,Unknown,Unknown,2012,Best Supporting Actress,http://www.nndb.com/people/304/000281458/,The Help,Octavia Spencer,https://www.imdb.com/name/nm0818055/awards,https://www.imdb.com/title/tt1454029/,8.0,2.5
438,"Brooklyn, Ny",12-Nov-82,White,Christian,Straight,2013,Best Supporting Actress,http://www.nndb.com/people/220/000032124/,Les MisÌ©rables,Anne Hathaway,https://www.imdb.com/name/nm0004266/awards,https://www.imdb.com/title/tt1707386/,8.0,2.5
439,"Mexico City, Mexico",1-Mar-83,Black,Unknown,Unknown,2014,Best Supporting Actress,http://www.nndb.com/people/570/000380427/,12 Years a Slave,Lupita Nyong'o,https://www.imdb.com/name/nm2143282/,https://www.imdb.com/title/tt2024544/,8.0,2.0
